,rouge-1,rouge-2,rouge-l
r,0.8669143403469092,0.6626763816991974,0.8472119490564629
p,0.7537297648917766,0.5897119328374429,0.7378997747662581
f,0.7910706332323499,0.6093093525949462,0.7738438772389414
